CUST_ID,CREDIT_CARD_NUMBER,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,DATE_OF_TXN
C10001,2993-4658-4667-7227,2828.84,2371.82,1871.68,2240.12,31908.45,492.22,278.61,10,2023-04-11
C10002,8562-1933-4513-2228,5457.98,1107.07,1091.68,1824.98,12719.34,4630.95,2718.75,15,2024-05-09
C10003,5189-4835-8648-9538,12062.45,1263.83,741.51,1683.23,26036.42,4590.64,4524.44,23,2023-05-20
C10004,1601-8366-7690-8771,4008.44,2775.43,554.54,2284.94,33957.39,2315.69,1779.12,29,2023-05-30
C10005,6961-1789-4263-4273,18286.36,660.61,392.32,1136.93,36964.54,2026.58,29.57,7,2024-08-06
C10006,0648-1102-0338-5395,6440.14,826.16,581.32,918.75,21325.01,935.8,493.77,15,2023-08-09
C10007,6949-2437-2685-6250,9221.52,4274.1,2644.74,281.8,14066.04,4342.95,3446.76,19,2024-06-06
C10008,3263-8857-6632-0444,2765.92,3622.95,3429.82,670.97,43695.28,668.11,214.31,6,2024-11-29
C10009,6031-9019-8500-4805,18211.27,4682.89,3088.21,700.71,32660.49,2706.94,2167.89,26,2024-03-22
C10010,0130-3003-8528-1978,1322.31,548.29,532.18,716.05,16918.14,1075.9,150.36,30,2024-08-05
C10011,6275-1627-7353-3826,10152.64,4629.13,1271.09,318.06,42489.38,6951.38,4083.39,15,2024-07-04
C10012,8767-4182-5973-6643,19708.38,2184.19,803.75,510.86,49567.88,9543.8,9083.67,10,2023-09-26
C10013,7999-6978-7683-1847,1501.96,2465.23,1042.63,2652.14,6743.88,384.88,235.52,19,2023-08-10
C10014,5508-3026-5401-7804,4210.6,2048.7,1068.32,2545.79,6901.64,679.94,376.26,9,2024-01-01
C10015,0379-0866-1893-3194,1593.47,2777.24,1485.54,1260.61,43227.86,856.6,756.03,7,2023-09-13
C10016,8433-2309-6281-1159,606.19,851.44,459.62,2983.87,35566.45,258.46,161.89,33,2024-01-12
C10017,7270-8124-1403-1393,11121.75,2725.05,2667.14,1701.04,10241.85,6596.61,4201.85,20,2023-10-29
C10018,2066-8600-5066-0479,14079.78,3802.37,3698.52,746.64,19599.18,8982.91,1636.69,28,2024-06-05
C10019,0660-7553-4974-9412,1284.55,2603.08,1319.15,2617.47,14729.25,921.08,340.7,2,2024-11-08
C10020,6396-3741-1382-8343,9726.7,2839.97,538.14,32.27,23533.03,5349.12,1287.99,32,2023-04-03
C10021,5067-4989-8331-5189,3802.26,1824.4,1799.18,1609.11,14688.4,1741.51,1625.16,5,2023-09-20
