CUST_ID,CREDIT_CARD_NUMBER,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,DATE_OF_TXN
C10001,1078-3932-6082-3122,14479.15,3696.97,1796.7,1525.1,49945.44,11021.77,7098.05,12,2023-08-12
C10002,5318-5456-5474-5252,18243.66,362.93,210.07,30.77,40084.94,2609.43,1825.6,20,2024-06-03
C10003,9613-3916-4855-5433,18063.04,235.92,5.32,266.32,37914.45,4651.85,2684.74,1,2023-10-25
C10004,3756-0179-0833-5316,9998.73,2186.62,1094.68,2429.92,46479.13,5250.73,3913.1,27,2023-05-25
C10005,9589-2478-5347-2358,16708.69,2516.72,1611.74,496.56,48672.6,9472.99,3819.44,34,2024-11-04
C10006,9298-7822-0710-1791,13969.54,256.88,95.14,1863.6,10797.3,3683.08,2472.37,30,2023-03-15
C10007,9684-3279-7381-7086,13811.48,4686.72,3531.89,1789.16,25184.62,12362.89,2258.23,30,2024-10-07
C10008,2659-9328-8857-6519,17859.92,4643.57,2915.87,1316.14,41858.57,3076.9,318.15,30,2024-04-12
C10009,1541-2529-5097-2806,9918.08,4766.72,720.16,1701.29,10226.41,7965.71,3998.92,10,2024-06-06
C10010,8808-0980-0139-6017,17275.04,1021.46,897.68,373.92,5231.28,15122.24,10798.94,31,2023-01-30
C10011,4136-0622-6966-7076,1008.39,3724.7,2556.26,2866.75,5999.62,373.38,140.82,18,2023-10-05
C10012,3146-9719-8336-9245,3951.79,4139.83,2705.9,2347.82,7478.92,894.16,86.56,29,2023-04-27
C10013,9518-8677-7590-5002,10527.86,2497.57,986.14,1735.17,31047.54,1893.07,1170.95,12,2024-11-15
C10014,6521-7456-6210-6599,8736.78,164.16,69.69,367.73,46737.41,6745.54,934.3,2,2023-01-23
C10015,1496-3346-1689-6285,5563.36,2997.07,1055.19,1151.37,35606.62,968.17,362.52,36,2024-05-30
C10016,5281-5263-6410-8755,8109.25,4947.49,1005.98,1605.69,8084.26,688.62,15.94,5,2024-11-23
C10017,2868-5373-2806-9229,3851.68,4096.68,3042.18,764.94,12623.01,3271.5,1872.23,33,2024-03-12
C10018,6007-3433-4595-5744,1666.85,2511.56,1742.96,2704.98,31410.37,1594.95,524.53,21,2024-11-25
C10019,0211-7423-7308-1236,6960.14,2092.55,42.41,440.95,31337.35,4228.3,1251.26,24,2023-11-16
C10020,2403-1989-2842-6012,4620.25,4430.58,1411.85,2151.89,44444.24,3063.45,2266.79,5,2023-04-25
C10021,0719-3480-1521-7039,15845.21,2922.43,2010.74,344.88,46063.65,6805.88,2301.09,32,2023-09-08
C10022,3006-7490-7764-6332,15378.22,1789.47,784.13,2445.79,45636.67,8424.68,6454.6,30,2023-03-31
C10023,0228-5084-5763-1993,5328.15,4691.0,742.04,1578.42,8037.77,3918.1,668.33,22,2024-07-23
C10024,6109-5610-9495-2563,7530.28,2174.79,212.07,2937.22,14966.43,3026.19,3003.39,9,2024-02-02
C10025,1230-5778-5846-1572,915.14,4949.81,3977.87,2746.03,34268.38,888.63,190.83,35,2023-09-01
C10026,4007-1259-3533-6885,1869.35,3377.55,223.86,2544.06,6238.82,110.75,74.68,32,2024-01-22
C10027,7884-1643-4968-9317,4892.99,1533.67,1478.82,1397.36,18351.84,969.9,770.76,28,2024-09-23
C10028,4142-2667-3747-3828,6147.36,3661.16,902.51,2673.18,20514.5,4471.78,745.02,18,2023-07-28
C10029,0303-3651-9135-7219,7868.1,2239.83,118.07,1480.53,42176.79,6860.14,5515.46,25,2024-11-22
C10030,8878-1951-9638-1277,15962.78,1069.6,49.3,2747.9,18229.43,8448.32,3716.67,18,2024-07-07
C10031,7134-7322-3670-0929,14588.05,1824.79,145.37,944.25,37601.21,6955.93,1240.05,10,2024-02-05
C10032,2039-7155-1418-8949,11571.89,1108.98,496.12,2717.49,21339.97,7018.47,2080.55,4,2024-07-18
C10033,4147-8762-1528-5905,9400.98,3833.4,341.28,2368.22,32678.45,6448.78,307.92,14,2023-12-07
C10034,7895-4169-1198-6758,9758.86,2173.92,1282.75,2195.31,33500.71,3198.69,1548.77,28,2024-09-07
C10035,0119-7233-9346-6173,7458.17,2138.23,453.76,1863.77,34585.15,924.53,245.62,30,2024-04-05
C10036,2788-9322-1950-5824,8504.25,857.28,447.95,1637.1,19297.7,4110.42,1582.11,27,2024-06-23
C10037,6720-2705-5980-6919,13253.4,4478.61,4275.07,1055.97,47347.36,3699.87,2861.29,12,2024-03-14
C10038,5793-4021-3279-3701,19173.22,4479.86,1159.84,1858.08,27884.15,10428.57,6072.19,1,2023-07-21
C10039,4122-4995-9388-1763,9409.38,3772.54,1615.33,967.9,30951.85,4326.6,3975.38,1,2023-12-21
C10040,2684-0262-8549-7620,7556.14,939.89,596.62,2866.44,21467.49,414.95,412.68,9,2024-12-05
C10041,8532-1577-2967-9533,8575.68,4550.27,4411.73,710.28,42762.79,7737.74,170.43,26,2023-09-02
C10042,0520-9982-9618-0219,5081.19,4157.07,2987.85,1302.9,42951.8,83.38,62.68,19,2024-05-06
C10043,5264-6022-5752-4251,10285.78,2988.91,512.89,1508.58,47192.41,8102.54,1307.83,26,2024-08-10
C10044,8959-4139-5503-8069,11316.44,4010.99,2462.01,2782.36,27044.75,8475.67,1890.54,24,2023-09-12
C10045,0411-5295-6656-6947,19613.99,2931.72,1381.53,242.28,47663.35,9541.53,1324.25,34,2023-11-10
C10046,7821-2253-6174-1889,18680.18,1575.06,711.56,1467.73,42234.73,6500.43,4992.46,12,2023-12-04
C10047,8141-8741-2607-9332,9247.34,4772.14,761.1,34.22,38186.47,7454.13,5509.71,19,2023-09-22
C10048,3323-6127-4857-6615,3285.91,3210.33,2350.87,2105.41,34944.87,1429.8,638.65,13,2024-06-30
C10049,3290-3077-9847-5776,15355.08,1615.85,1049.51,192.11,21145.51,13552.36,5357.53,30,2024-08-14
C10050,9981-0514-8442-7290,8994.23,3947.31,3080.12,1990.89,28029.28,2187.91,661.14,9,2023-08-28
