CUST_ID,CREDIT_CARD_NUMBER,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,DATE_OF_TXN
C10001,7060-1450-2168-1761,6215.76,1210.33,625.15,1409.58,22157.4,4545.17,42.98,33,2024-03-03
C10002,4457-9982-6091-8400,12227.94,2180.25,1950.35,808.62,18010.3,11181.07,10870.91,10,2023-10-06
C10003,7922-1765-8672-0626,16029.64,1345.64,302.43,364.77,24141.64,796.4,687.05,6,2023-05-29
C10004,7315-6044-6471-2037,14764.53,301.97,284.54,1690.08,25487.37,11740.58,425.7,35,2023-05-03
C10005,4165-8675-7096-7532,3549.62,1797.73,184.43,1991.01,21159.3,419.2,197.78,20,2023-05-19
C10006,2529-2228-2684-1159,19551.08,456.09,268.46,1898.69,25792.28,8671.77,1227.13,16,2024-04-21
C10007,0952-9733-3759-4759,2463.43,944.25,435.52,18.46,27845.3,1046.42,305.04,31,2024-03-29
C10008,0784-6887-8053-4365,19666.12,3862.23,3115.87,137.89,11646.02,304.43,166.6,7,2023-03-01
C10009,8018-4100-9687-6597,10111.93,2179.67,1482.39,792.67,23712.88,1404.03,1048.79,15,2023-03-01
C10010,0567-1456-7143-4406,15163.31,4143.73,3736.29,578.43,36428.82,10145.86,1596.01,1,2023-10-02
C10011,7626-7670-5256-3617,12010.07,2135.54,1045.4,1133.54,41505.23,8369.69,4576.49,8,2023-10-10
C10012,4864-9329-3006-3995,1566.36,1883.05,1522.24,1827.87,21266.28,1436.88,625.97,6,2023-02-03
C10013,7642-3134-9948-9331,4624.51,2832.5,1529.79,874.38,22388.91,1118.32,13.58,33,2023-01-08
C10014,0753-8879-4742-1213,6109.13,1994.15,275.62,2406.88,11927.39,4910.31,3779.77,27,2024-01-20
C10015,8180-2814-4230-0778,2335.94,533.41,356.12,1868.96,38551.93,112.64,61.51,10,2023-04-07
C10016,8840-4356-1565-0029,1906.69,2527.55,1194.27,743.28,40241.97,1800.32,122.39,15,2024-08-04
C10017,1505-7837-9659-3776,16125.85,1809.31,1784.23,296.38,41228.46,7435.06,3332.52,4,2024-04-25
C10018,2669-9511-1029-7088,19456.0,2015.62,695.17,2930.07,17483.8,14401.79,149.41,7,2023-03-27
C10019,9110-9114-3532-8058,19584.31,4043.51,111.9,1655.57,9279.44,4577.26,2292.22,34,2024-04-07
C10020,7765-3877-0426-0408,8501.34,2065.66,1676.26,192.14,27316.11,4265.49,1406.2,22,2023-04-01
C10021,1016-3288-5472-4207,13174.09,4544.31,4343.43,2074.63,35128.99,4934.98,2437.47,16,2023-09-16
C10022,7125-4232-0842-1047,18671.05,2423.18,1568.83,2778.38,16784.49,10492.77,823.27,22,2023-09-17
C10023,6643-6249-1347-2038,2448.9,3968.64,3719.39,729.11,8650.19,524.46,373.58,35,2023-08-27
C10024,4620-0865-0165-3027,18883.87,3288.76,3200.15,2753.05,30894.36,2968.5,1115.91,30,2024-07-18
C10025,5646-6790-7572-0277,2545.67,2660.15,223.61,1514.12,37154.99,642.09,316.97,18,2023-08-17
C10026,2272-8332-6501-9921,19678.54,3195.55,711.68,478.53,32915.69,18743.2,16379.42,7,2023-04-13
C10027,2315-1132-3980-9467,4680.84,4805.18,1701.78,680.94,31685.58,2863.91,2628.21,34,2024-12-23
C10028,7771-1433-8502-5353,9820.08,3134.77,373.99,2379.79,9986.91,8459.91,4723.24,20,2024-02-08
