CUST_ID,CREDIT_CARD_NUMBER,BALANCE,PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,DATE_OF_TXN
C10001,8040-1365-7324-2885,17266.53,2091.12,1610.41,198.47,14909.61,7794.81,4007.86,30,2025-01-01
C10002,8615-8275-6358-8745,11473.37,3942.83,638.87,891.86,42207.9,3652.43,3403.55,19,2023-07-04
C10003,1458-9722-4730-9061,18536.69,2475.87,410.58,2122.15,45859.54,16748.92,1997.94,25,2023-08-17
C10004,1851-0491-6915-4047,13064.38,4155.38,3373.69,1077.46,40748.09,5758.49,2433.33,30,2023-01-23
C10005,7141-0173-0632-9250,2011.95,699.8,381.05,1914.86,7244.91,384.29,168.47,9,2024-11-18
C10006,2598-1028-1700-3751,15041.88,1217.14,1059.14,325.68,11317.72,8085.01,4589.92,30,2023-05-03
C10007,3739-7140-0914-1803,12188.81,416.82,390.93,2018.38,22276.98,5419.35,5195.22,28,2023-05-18
C10008,7542-6043-8834-9477,2989.49,2342.83,544.14,41.36,35255.03,1199.66,453.9,10,2023-08-05
C10009,2885-8940-2258-3989,19031.21,2321.98,609.58,1692.81,16868.54,3288.55,1733.98,21,2024-11-04
C10010,1228-5801-4319-6857,2067.35,3548.81,2581.29,1532.57,13441.48,143.04,21.52,13,2023-05-11
C10011,8622-8050-4702-9784,4626.87,1060.46,165.61,2066.47,32773.37,1603.05,42.58,33,2024-07-05
C10012,4527-5436-3970-5488,1911.13,1100.98,46.07,929.53,16257.85,707.42,584.3,27,2023-02-26
C10013,9945-2514-8092-9460,7120.76,608.73,459.51,2386.39,23040.33,2079.82,969.94,4,2023-10-24
C10014,6606-7722-6553-4040,8814.59,1351.32,64.67,225.33,16843.48,7385.8,3222.23,18,2024-10-10
C10015,8605-8493-0334-0853,1058.6,2733.06,770.99,126.13,37102.26,278.48,175.45,7,2024-11-20
C10016,5679-5645-1674-3393,6239.06,4694.97,3472.57,1672.4,34576.62,6180.68,2061.27,21,2024-08-10
C10017,2027-9591-4669-9384,7047.02,2161.61,1726.3,2541.8,45019.92,1164.87,982.07,4,2023-08-31
C10018,3668-1414-1470-4006,18291.06,2848.55,2014.49,1960.67,32374.75,17464.86,12012.46,13,2023-06-07
C10019,2763-4971-1157-8135,18820.79,2364.05,1055.51,2756.58,14550.86,11104.18,8867.76,11,2024-01-03
C10020,6645-2895-7720-8195,5895.5,1941.29,1927.28,2486.12,8983.36,3455.77,3406.32,20,2023-12-17
C10021,6593-9105-6850-6980,1247.33,447.98,246.0,2046.9,29978.25,518.65,459.77,16,2024-10-04
C10022,8502-2881-2216-1018,7731.64,1895.76,965.57,61.81,22812.26,7306.94,115.18,34,2023-11-29
C10023,9268-6172-8434-3156,13058.27,2342.06,1530.26,584.3,27272.42,9666.13,2484.77,1,2024-03-26
C10024,8405-0677-4900-7959,680.49,502.11,318.39,690.23,27669.42,153.39,111.98,18,2024-07-28
C10025,3253-7377-0479-2231,14536.54,544.03,130.05,1871.28,47863.35,7557.16,1670.47,5,2024-05-15
C10026,6044-1713-4262-1207,19438.99,231.67,124.63,1256.67,14832.85,16230.28,4698.5,30,2024-04-26
C10027,6167-3001-8093-6354,3743.04,4033.45,3353.94,565.9,14598.87,967.34,254.66,23,2024-02-14
C10028,3089-5236-5669-6858,650.53,645.02,198.56,41.71,11954.22,236.74,200.33,15,2024-12-19
C10029,3157-7126-3071-5308,17866.7,2170.81,1020.67,2184.41,37490.12,15790.71,4676.45,12,2024-09-16
C10030,3819-9359-9882-8198,19001.83,4784.91,2289.72,2531.45,35451.71,7748.79,7275.27,16,2024-04-05
C10031,2302-8688-0147-2734,1127.6,1725.44,1193.48,2703.34,29675.47,387.59,85.71,10,2024-12-04
C10032,4180-0062-7417-9272,12062.56,800.87,365.73,1362.32,5164.92,8739.26,4868.48,32,2023-03-25
C10033,2371-1300-9802-1193,6292.51,4238.81,4025.75,1825.22,45830.34,2876.48,255.29,14,2024-11-30
C10034,1573-3177-6582-6977,8722.01,4261.61,938.01,1400.68,24239.69,5670.69,310.03,6,2024-10-18
C10035,1547-1349-7958-1198,19799.25,2006.83,1289.68,2550.8,26218.49,3570.66,2318.13,5,2024-02-11
C10036,0674-7586-9606-3748,1131.93,1378.78,1094.02,2133.07,11470.76,839.0,363.68,26,2023-12-19
C10037,7764-2086-2222-1702,7885.9,987.2,845.42,641.75,20589.89,3748.6,2691.5,7,2023-05-23
C10038,9502-0067-3122-5862,19697.27,3389.29,1689.86,1150.68,15526.71,9477.79,2886.71,22,2023-02-20
C10039,3822-7567-3725-0234,10004.65,3279.77,768.52,1226.25,46649.7,153.02,63.32,30,2023-04-30
C10040,3912-2553-9094-5220,6979.07,3882.36,3670.63,2662.89,38302.33,6078.07,57.57,6,2023-10-25
C10041,7294-4076-2564-3260,9468.72,2925.9,459.54,2584.22,11270.98,392.91,380.69,25,2023-11-01
C10042,1006-0262-3476-9327,16390.85,179.06,67.4,1124.28,16290.1,5324.68,1715.79,2,2024-05-28
C10043,5582-9729-2476-1026,2674.61,4343.55,964.82,1291.17,10383.15,1818.57,1619.62,15,2024-08-20
C10044,6417-3963-9554-6053,5138.55,2785.04,586.64,867.26,41632.66,180.28,131.95,12,2024-08-16
C10045,3380-0813-6466-7847,11163.81,4101.7,1736.7,2008.54,27899.74,11054.0,5192.18,28,2024-10-25
